Process	PID	Description	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
OfficeClickToRun.exe	3024	Microsoft Office Click-to-Run (SxS)			
svchost.exe	2972	Host Process for Windows Services			
svchost.exe	2956	Host Process for Windows Services			
svchost.exe	2944	Host Process for Windows Services			
svchost.exe	2820	Host Process for Windows Services			
svchost.exe	2812	Host Process for Windows Services			
svchost.exe	2780	Host Process for Windows Services			
spoolsv.exe	2708	Spooler SubSystem App			
OneDrive.exe	2592	Microsoft OneDrive	4.6  MB	933.8  KB	521.5  KB
svchost.exe	2556	Host Process for Windows Services			
svchost.exe	2464	Host Process for Windows Services			
svchost.exe	2436	Host Process for Windows Services			
svchost.exe	2428	Host Process for Windows Services			
svchost.exe	2420	Host Process for Windows Services			
svchost.exe	2332	Host Process for Windows Services			
svchost.exe	2268	Host Process for Windows Services	5.5  KB		4.4  KB
svchost.exe	2248	Host Process for Windows Services			
svchost.exe	2236	Host Process for Windows Services			
Code.exe	2184	Visual Studio Code	19.6  MB	2.4  MB	908.2  KB
svchost.exe	2140	Host Process for Windows Services			
svchost.exe	2124	Host Process for Windows Services			
svchost.exe	2108	Host Process for Windows Services			
svchost.exe	2036	Host Process for Windows Services			
Memory Compression	2012				
svchost.exe	1932	Host Process for Windows Services			
svchost.exe	1924	Host Process for Windows Services			
svchost.exe	1908	Host Process for Windows Services			
svchost.exe	1900	Host Process for Windows Services			
svchost.exe	1868	Host Process for Windows Services			
svchost.exe	1816	Host Process for Windows Services			
svchost.exe	1716	Host Process for Windows Services			
VBoxService.exe	1708	VirtualBox Guest Additions Service			
msedgewebview2.exe	1648	Microsoft Edge WebView2	6.6  KB	12.4  KB	11.4  KB
svchost.exe	1492	Host Process for Windows Services			
svchost.exe	1468	Host Process for Windows Services			
svchost.exe	1432	Host Process for Windows Services			
svchost.exe	1388	Host Process for Windows Services			
svchost.exe	1344	Host Process for Windows Services			
svchost.exe	1288	Host Process for Windows Services			
svchost.exe	1224	Host Process for Windows Services			
svchost.exe	1192	Host Process for Windows Services			
svchost.exe	1184	Host Process for Windows Services			
svchost.exe	1176	Host Process for Windows Services			
svchost.exe	1168	Host Process for Windows Services			
taskhostw.exe	1152	Host Process for Windows Tasks	4.8  MB	7.9  MB	47.7  KB
svchost.exe	956	Host Process for Windows Services			
fontdrvhost.exe	944				
fontdrvhost.exe	936				
dwm.exe	888				
lsass.exe	832	Local Security Authority Process			
RuntimeBroker.exe	820	Runtime Broker	93.1  KB	160 B	52.5  KB
services.exe	812				
winlogon.exe	740				
svchost.exe	708	Host Process for Windows Services			
csrss.exe	676				
wininit.exe	668				
csrss.exe	596				
svchost.exe	564	Host Process for Windows Services			
smss.exe	432				
svchost.exe	416	Host Process for Windows Services			
Code.exe	232	Visual Studio Code	37.5  MB	11.7  MB	222.6  KB
Registry	104				
System	4				
System Idle Process	0				
Interrupts	n/a	Hardware Interrupts and DPCs			

