Process	PID	Description	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
svchost.exe	1816	Host Process for Windows Services			
svchost.exe	1716	Host Process for Windows Services			
VBoxService.exe	1708	VirtualBox Guest Additions Service			
msedgewebview2.exe	1648	Microsoft Edge WebView2	6.0  KB	2.9  KB	11.4  KB
svchost.exe	1492	Host Process for Windows Services			
svchost.exe	1468	Host Process for Windows Services			
svchost.exe	1432	Host Process for Windows Services			
svchost.exe	1388	Host Process for Windows Services			
svchost.exe	1344	Host Process for Windows Services			
svchost.exe	1288	Host Process for Windows Services			
svchost.exe	1224	Host Process for Windows Services			
svchost.exe	1192	Host Process for Windows Services			
svchost.exe	1184	Host Process for Windows Services			
svchost.exe	1176	Host Process for Windows Services			
svchost.exe	1168	Host Process for Windows Services			
taskhostw.exe	1152	Host Process for Windows Tasks	4.8  MB	7.0  MB	46.4  KB
svchost.exe	956	Host Process for Windows Services			
fontdrvhost.exe	944				
fontdrvhost.exe	936				
dwm.exe	888				
lsass.exe	832	Local Security Authority Process			
RuntimeBroker.exe	820	Runtime Broker	93.1  KB	160 B	52.5  KB
services.exe	812				
winlogon.exe	740				
svchost.exe	708	Host Process for Windows Services			
csrss.exe	676				
wininit.exe	668				
csrss.exe	596				
svchost.exe	564	Host Process for Windows Services			
PhoneExperienceHost.exe	444	Microsoft Phone Link	372.9  KB		111.1  KB
smss.exe	432				
svchost.exe	416	Host Process for Windows Services			
Code.exe	232	Visual Studio Code	37.4  MB	11.7  MB	207.5  KB
Registry	104				
System	4				
System Idle Process	0				
Interrupts	n/a	Hardware Interrupts and DPCs			

